"level","input_value","QID","GeoNames","matchLabel","matchScore","matchReason","TGN","IDAI","OSM_Relation"
"KREIS","Teltow-Fläming","Q6146","","Landkreis Teltow-Fläming","1.0","Direct override | 'Teltow-Fläming' -> QID=Q6146 | [override -> QID=Q6146]","","",""
"KREIS","Dahme-Spreewald","Q6173","3249080","Dahme-Spreewald","1.0","Exact match via skos:altLabel [global index] | 'Dahme-Spreewald' -> 'Dahme-Spreewald'","7076944","","62376"
"KREIS","Uckermark","Q338635","2820521","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","","",""
"KREIS","Oder-Spree","Q6178","3249086","Oder-Spree","1.0","Exact match via skos:altLabel [global index] | 'Oder-Spree' -> 'Oder-Spree'","7076938","","62628"
"KREIS","Märkisch-Oderland","Q6181","3249083","Märkisch-Oderland","1.0","Exact match via skos:altLabel [global index] | 'Märkisch-Oderland' -> 'Märkisch-Oderland'","7076941","","318248"
"KREIS","Spree-Neiße","Q6165","3249089","Spree-Neiße","1.0","Exact match via skos:altLabel [global index] | 'Spree-Neiße' -> 'Spree-Neiße'","7076935","","62683"
"KREIS","Frankfurt (Oder)","Q4024","2925535","Frankfurt (Oder)","1.0","Exact match via rdfs:label [global index] | 'Frankfurt (Oder)' -> 'Frankfurt (Oder)'","7005972","","62523"
"KREIS","Potsdam-Mittelmark","Q6142","2852456","Potsdam-Mittelmark","1.0","Exact match via skos:altLabel [global index] | 'Potsdam-Mittelmark' -> 'Potsdam-Mittelmark'","7120830","","62353"
"KREIS","Ostprignitz-Ruppin","Q6125","3249087","Ostprignitz-Ruppin","1.0","Exact match via skos:altLabel [global index] | 'Ostprignitz-Ruppin' -> 'Ostprignitz-Ruppin'","7076937","","62574"
"KREIS","Potsdam","Q1711","7602560","Potsdam","1.0","Exact match via rdfs:label [global index] | 'Potsdam' -> 'Potsdam'","7004463","","62369"
"KREIS","Brandenburg (Havel)","Q3931","","Brandenburg an der Havel","1.0","Direct override | 'Brandenburg (Havel)' -> QID=Q3931 | [override -> QID=Q3931]","","",""
"KREIS","Elbe-Elster","Q1325077","3249081","Elbe-Elster","1.0","Exact match via skos:altLabel [global index] | 'Elbe-Elster' -> 'Elbe-Elster'","7076943","","62505"
"KREIS","Oberhavel","Q6119","3249084","Oberhavel","1.0","Exact match via skos:altLabel [global index] | 'Oberhavel' -> 'Oberhavel'","7076940","","62488"
"KREIS","Barnim","Q6115","3249079","Barnim","1.0","Exact match via rdfs:label [global index] | 'Barnim' -> 'Barnim'","7076945","2048550","62553"
"KREIS","Oberspreewald-Lausitz","Q6156","3249085","Oberspreewald-Lausitz","1.0","Exact match via skos:altLabel [global index] | 'Oberspreewald-Lausitz' -> 'Oberspreewald-Lausitz'","7076939","","62571"
"KREIS","Prignitz","Q6132","3249088","Prignitz","1.0","Exact match via rdfs:label [global index] | 'Prignitz' -> 'Prignitz'","7076936","","62738"
"KREIS","pow. Jaworski","Q637105","7530815","powiat jaworski","1.0","Exact match via rdfs:label [global index] | 'Powiat Jaworski' -> 'powiat jaworski'","","","451358"
"KREIS","pow. Lubiński","Q687839","7530831","powiat lubiński","1.0","Exact match via rdfs:label [global index] | 'Powiat Lubiński' -> 'powiat lubiński'","","","451317"
"KREIS","pow. Wołowski","Q715925","7530849","powiat wołowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wołowski' -> 'powiat wołowski'","","","451510"
"KREIS","pow. Ząbkowicki","Q716143","7530851","Powiat Ząbkowicki","1.0","Exact match via rdfs:label [global index] | 'Powiat Ząbkowicki' -> 'Powiat Ząbkowicki'","","","451513"
"KREIS","pow. Wrocławski","Q715974","7530850","powiat wrocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wrocławski' -> 'powiat wrocławski'","","","451517"
"KREIS","pow. Oławski","Q715475","7530835","powiat oławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Oławski' -> 'powiat oławski'","","","451515"
"KREIS","pow. Strzeliński","Q179986","7530837","powiat strzeliński","1.0","Exact match via rdfs:label [global index] | 'Powiat Strzeliński' -> 'powiat strzeliński'","","","451514"
"KREIS","pow. Świecki","Q774944","7530917","Powiat Świecki","1.0","Exact match via rdfs:label [global index] | 'Powiat Świecki' -> 'Powiat Świecki'","","","1277982"
"KREIS","pow. Toruński","Q650180","7530918","Powiat Toruński","1.0","Exact match via rdfs:label [global index] | 'Powiat Toruński' -> 'Powiat Toruński'","","","1686775"
"KREIS","pow. Radziejowski","Q687625","7530914","powiat radziejowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Radziejowski' -> 'powiat radziejowski'","","","2616210"
"KREIS","pow. Aleksandrowski","Q750491","7530904","powiat aleksandrowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Aleksandrowski' -> 'powiat aleksandrowski'","","","2615964"
"KREIS","pow. Włocławski","Q774833","7530921","powiat włocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Włocławski' -> 'powiat włocławski'","","","2616205"
"KREIS","pow. Mogileński","Q604053","7530912","Powiat Mogileński","1.0","Exact match via rdfs:label [global index] | 'Powiat Mogileński' -> 'Powiat Mogileński'","","","1385334"
"KREIS","pow. Inowrocławski","Q773314","7530910","powiat inowrocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Inowrocławski' -> 'powiat inowrocławski'","","","1286782"
"KREIS","pow. Żniński","Q577199","7530922","powiat żniński","1.0","Exact match via rdfs:label [global index] | 'Powiat Żniński' -> 'powiat żniński'","","","1286781"
"KREIS","pow. Miński","Q947536","","Powiat Miński","1.0","Direct override | 'pow. Miński' -> QID=Q947536 | [override -> QID=Q947536]","","",""
"KREIS","pow. Nakielski","Q583446","7530913","powiat nakielski","1.0","Exact match via rdfs:label [global index] | 'Powiat Nakielski' -> 'powiat nakielski'","","","1286542"
"KREIS","pow. Gryfiński","Q326895","","Powiat Gryfiński","1.0","Direct override | 'pow. Gryfiński' -> QID=Q326895 | [override -> QID=Q326895]","","",""
"KREIS","pow. Krośnieński","Q317835","7531030","powiat krośnieński","1.0","Exact match via rdfs:label [global index] | 'Powiat Krośnieński' -> 'powiat krośnieński'","","","2663855"
"KREIS","pow. Żarski","Q318459","7530731","powiat żarski","1.0","Exact match via rdfs:label [global index] | 'Powiat Żarski' -> 'powiat żarski'","","","2663860"
"KREIS","pow. Krosno Odrzańskie","Q317835","","Powiat Krośnieński","1.0","Direct override | 'pow. Krosno Odrzańskie' -> QID=Q317835 | [override -> QID=Q317835]","","",""
"KREIS","pow. Sulęciński","Q318002","7530987","Powiat Sulęciński","1.0","Exact match via rdfs:label [global index] | 'Powiat Sulęciński' -> 'Powiat Sulęciński'","","","2663875"
"KREIS","pow. Zielonogórski","Q318384","7531003","Powiat Zielonogórski","1.0","Exact match via rdfs:label [global index] | 'Powiat Zielonogórski' -> 'Powiat Zielonogórski'","","","2417503"
"KREIS","pow. Strzelecko-Drezdenecki","Q317976","7530981","Powiat Strzelecko-Drezdenecki","1.0","Exact match via rdfs:label [global index] | 'Powiat Strzelecko-Drezdenecki' -> 'Powiat Strzelecko-Drezdenecki'","","","2663925"
"KREIS","pow. Nowosolski","Q317943","7530855","powiat nowosolski","1.0","Exact match via rdfs:label [global index] | 'Powiat Nowosolski' -> 'powiat nowosolski'","","","2663868"
"KREIS","pow. Wschowski","Q318376","7530812","powiat wschowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wschowski' -> 'powiat wschowski'","","","2663872"
"KREIS","pow. Międzyrzecki","Q317917","7530979","powiat międzyrzecki","1.0","Exact match via rdfs:label [global index] | 'Powiat Międzyrzecki' -> 'powiat międzyrzecki'","","","2663893"
"KREIS","pow. Słupecki","Q133257","","Powiat Słupecki","1.0","Direct override | 'pow. Słupecki' -> QID=Q133257 | [override -> QID=Q133257]","","",""
"KREIS","pow. Nyski","Q461537","7530734","powiat nyski","1.0","Exact match via rdfs:label [global index] | 'Powiat Nyski' -> 'powiat nyski'","","","2661908"
"KREIS","pow. Głubczycki","Q461252","7531046","powiat głubczycki","1.0","Exact match via rdfs:label [global index] | 'Powiat Głubczycki' -> 'powiat głubczycki'","","","2662779"
"KREIS","pow. Prudnicki","Q462130","7531047","Powiat Prudnicki","1.0","Exact match via rdfs:label [global index] | 'Powiat Prudnicki' -> 'Powiat Prudnicki'","","","2661910"
"KREIS","pow. Starogardzki","Q1341090","7530934","powiat starogardzki","1.0","Exact match via rdfs:label [global index] | 'Powiat Starogardzki' -> 'powiat starogardzki'","","","1514927"
"KREIS","pow. Tczewski","Q1341069","7530935","powiat tczewski","1.0","Exact match via rdfs:label [global index] | 'Powiat Tczewski' -> 'powiat tczewski'","","","1551609"
"KREIS","pow. Raciborski","Q554313","7531054","Powiat Raciborski","1.0","Exact match via rdfs:label [global index] | 'Powiat Raciborski' -> 'Powiat Raciborski'","","","2417246"
"KREIS","pow. Kętrzyński","Q1135341","7530860","powiat kętrzyński","1.0","Exact match via rdfs:label [global index] | 'Powiat Kętrzyński' -> 'powiat kętrzyński'","","","2675556"
"KREIS","pow. Gorzów Wielkopolski","Q104731","","Gorzów Wielkopolski","1.0","Direct override | 'pow. Gorzów Wielkopolski' -> QID=Q104731 | [override -> QID=Q104731]","","",""
"KREIS","pow. Szczecińska","Q558408","","Powiat Szczecinecki","1.0","Direct override | 'pow. Szczecińska' -> QID=Q558408 | [override -> QID=Q558408]","","",""
"KREIS","pow. Pyrzycki","Q1411599","7530845","powiat pyrzycki","1.0","Exact match via rdfs:label [global index] | 'Powiat Pyrzycki' -> 'powiat pyrzycki'","","","2662787"
"KREIS","pow. Stargardzki","Q1340630","7530793","Powiat Stargardzki","1.0","Exact match via rdfs:label [global index] | 'Powiat Stargardzki' -> 'Powiat Stargardzki'","","","2662788"
"KREIS","pow. Myśliborski","Q558403","7531005","Powiat myśliborski","1.0","Exact match via rdfs:label [global index] | 'Powiat Myśliborski' -> 'Powiat myśliborski'","","","2662786"
"KREIS","pow. Policki","Q558696","7530844","powiat policki","1.0","Exact match via rdfs:label [global index] | 'Powiat Policki' -> 'powiat policki'","","","343814"
"LAND","Deutschland","Q183","2921044","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","7000084","2044274","51477"
"LAND","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","7006366","2054097","49715"
